Performance Recorder: RTAR_1DOP_Detailed_RandPerm_64MPI16Threads.log
Rank | sendB(ms)  | sendC(ms)  | mergeC(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      6.7148       35.481       8.1419        4.0777       7.364e+05    11.783           8.054e+04   1.2887      1.864e+05   2.9819      0.057514      
1      6.7516       34.805       7.7807        3.8566       7.344e+05    11.75            8.054e+04   1.2887      1.931e+05   3.0895      0.057514      
2      6.6635       35.685       9.0575        4.0283       7.350e+05    11.76            8.054e+04   1.2887      1.889e+05   3.0218      0.057514      
3      6.7998       35.543       7.5755        4.0897       7.364e+05    11.782           8.054e+04   1.2887      1.826e+05   2.9212      0.057514      
4      6.6668       35.452       8.3457        3.9928       7.338e+05    11.741           8.054e+04   1.2887      1.880e+05   3.0079      0.057514      
5      6.6583       35.468       9.7615        4.0526       7.341e+05    11.745           8.054e+04   1.2887      1.928e+05   3.0848      0.057514      
6      6.718        35.646       8.9348        4.0162       7.342e+05    11.746           8.054e+04   1.2887      1.840e+05   2.9443      0.057514      
7      6.7037       35.551       9.7041        3.9506       7.344e+05    11.75            8.054e+04   1.2887      1.911e+05   3.0581      0.057514      
8      6.7494       35.009       8.283         4.1568       7.355e+05    11.768           8.054e+04   1.2887      1.880e+05   3.0087      0.057514      
9      6.5871       35.55        8.6787        3.804        7.346e+05    11.754           8.054e+04   1.2887      1.859e+05   2.9745      0.057514      
10     6.6771       35.58        9.454         3.9733       7.349e+05    11.758           8.054e+04   1.2887      1.953e+05   3.1252      0.057514      
11     6.6465       35.557       9.1914        4.0385       7.334e+05    11.735           8.054e+04   1.2887      1.847e+05   2.955       0.057514      
12     6.7633       35.792       8.5813        3.7982       7.343e+05    11.748           8.054e+04   1.2887      1.897e+05   3.035       0.057514      
13     6.7075       35.358       9.0928        3.8943       7.350e+05    11.76            8.054e+04   1.2887      1.892e+05   3.0266      0.057514      
14     6.6792       35.544       8.4648        3.8294       7.347e+05    11.755           8.054e+04   1.2887      1.887e+05   3.0194      0.057514      
15     6.7149       35.679       9.0068        3.8685       7.341e+05    11.745           8.054e+04   1.2887      1.920e+05   3.0722      0.057514      
16     6.7479       35.421       8.2716        3.8878       7.331e+05    11.73            8.054e+04   1.2887      1.910e+05   3.0556      0.057514      
17     6.6716       35.576       9.7079        4.0322       7.335e+05    11.736           8.054e+04   1.2887      1.890e+05   3.0242      0.057514      
18     6.7133       34.014       9.2833        5.5076       7.321e+05    11.714           8.054e+04   1.2887      1.872e+05   2.9947      0.057514      
19     6.8025       35.538       8.4813        4.0588       7.344e+05    11.75            8.054e+04   1.2887      1.828e+05   2.925       0.057514      
20     6.7124       35.67        9.1157        3.8713       7.331e+05    11.73            8.054e+04   1.2887      1.891e+05   3.026       0.057514      
21     6.7486       35.155       8.4057        4.0599       7.349e+05    11.759           8.054e+04   1.2887      1.885e+05   3.0158      0.057514      
22     6.7029       35.591       8.8344        3.984        7.346e+05    11.754           8.054e+04   1.2887      1.871e+05   2.994       0.057514      
23     6.6365       35.249       8.8141        3.9825       7.344e+05    11.75            8.054e+04   1.2887      1.911e+05   3.0575      0.057514      
24     6.6216       35.478       8.6437        3.7693       7.354e+05    11.767           8.054e+04   1.2887      1.909e+05   3.055       0.057514      
25     6.7818       35.31        8.6349        3.9962       7.350e+05    11.759           8.054e+04   1.2887      1.892e+05   3.0275      0.057514      
26     6.8027       35.045       7.9948        3.7391       7.350e+05    11.76            8.054e+04   1.2887      1.901e+05   3.0416      0.057514      
27     6.7963       34.914       8.3932        4.1095       7.354e+05    11.767           8.054e+04   1.2887      1.873e+05   2.9966      0.057514      
28     6.6757       35.5         9.1764        4.0617       7.351e+05    11.761           8.054e+04   1.2887      1.897e+05   3.0359      0.057514      
29     6.7984       35.614       8.7719        3.7427       7.332e+05    11.732           8.054e+04   1.2887      1.946e+05   3.1131      0.057514      
30     6.6972       35.536       8.9419        4.0639       7.336e+05    11.737           8.054e+04   1.2887      1.915e+05   3.0633      0.057514      
31     6.7532       35.098       7.5933        3.7562       7.366e+05    11.786           8.054e+04   1.2887      1.860e+05   2.9758      0.057514      
32     6.6712       35.257       8.0583        3.8916       7.339e+05    11.742           8.054e+04   1.2887      1.860e+05   2.9759      0.057514      
33     6.7491       35.496       8.3178        3.9311       7.345e+05    11.752           8.054e+04   1.2887      1.853e+05   2.9651      0.057514      
34     6.7456       35.547       8.3836        3.8267       7.334e+05    11.734           8.054e+04   1.2887      1.852e+05   2.9633      0.057514      
35     6.7585       35.599       8.4834        3.8586       7.329e+05    11.726           8.054e+04   1.2887      1.894e+05   3.0305      0.057514      
36     6.735        35.849       8.9198        3.6763       7.329e+05    11.727           8.054e+04   1.2887      1.868e+05   2.9889      0.057514      
37     6.7869       35.683       8.4004        3.8339       7.341e+05    11.745           8.054e+04   1.2887      1.901e+05   3.0418      0.057514      
38     6.6728       35.814       8.7863        3.6384       7.334e+05    11.735           8.054e+04   1.2887      1.874e+05   2.9977      0.057514      
39     6.8028       35.306       8.7041        3.9251       7.330e+05    11.728           8.054e+04   1.2887      1.886e+05   3.0181      0.057514      
40     6.7081       35.598       8.8321        3.8701       7.341e+05    11.746           8.054e+04   1.2887      1.887e+05   3.0196      0.057514      
41     6.8183       35.294       8.8797        3.9733       7.345e+05    11.752           8.054e+04   1.2887      1.897e+05   3.0351      0.057514      
42     6.7507       35.002       7.8509        3.9859       7.325e+05    11.72            8.054e+04   1.2887      1.879e+05   3.0067      0.057514      
43     6.7067       35.652       8.6921        3.9261       7.340e+05    11.744           8.054e+04   1.2887      1.879e+05   3.0064      0.057514      
44     6.7806       35.167       8.9841        4.03         7.339e+05    11.742           8.054e+04   1.2887      1.883e+05   3.0124      0.057514      
45     6.789        35.576       8.6061        4.01         7.334e+05    11.734           8.054e+04   1.2887      1.886e+05   3.0181      0.057514      
46     6.7322       35.527       8.9892        3.9734       7.336e+05    11.737           8.054e+04   1.2887      1.878e+05   3.0052      0.057514      
