Performance Recorder: RTAR_1D_Detailed_GPPerm_64MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
44     168.86       2784.9       6.4395       6.019e+05    9.6306           1.494e+07   238.96          7.985e+04   1.2777      1.847e+05   2.9546      2.9631        
45     168.86       2784.9       7.262        7.034e+05    11.255           1.564e+07   250.21          8.222e+04   1.3156      1.917e+05   3.0669      2.9631        
46     168.86       2784.8       6.7924       7.761e+05    12.417           1.539e+07   246.18          8.042e+04   1.2868      1.881e+05   3.0094      2.9631        
47     168.86       2784.9       7.3987       6.880e+05    11.008           1.557e+07   249.13          8.158e+04   1.3053      1.918e+05   3.0692      2.9631        
48     168.86       2784.8       7.4718       7.702e+05    12.324           1.548e+07   247.74          7.989e+04   1.2782      1.875e+05   3.0007      2.9631        
49     168.86       2784.8       7.7537       7.782e+05    12.45            1.571e+07   251.43          8.148e+04   1.3037      1.901e+05   3.0416      2.9631        
50     168.86       2784.8       7.2077       6.426e+05    10.282           1.546e+07   247.35          8.076e+04   1.2922      1.885e+05   3.0164      2.9631        
51     168.86       2784.8       7.5797       7.351e+05    11.761           1.564e+07   250.26          8.146e+04   1.3033      1.900e+05   3.0404      2.9631        
52     168.86       2784.8       7.2014       5.569e+05    8.9099           1.493e+07   238.82          7.844e+04   1.255       1.805e+05   2.8883      2.9631        
53     168.86       2784.8       6.6047       7.827e+05    12.523           1.516e+07   242.55          7.965e+04   1.2744      1.837e+05   2.9398      2.9631        
54     168.86       2784.9       7.6509       6.563e+05    10.501           1.575e+07   252.05          8.101e+04   1.2962      1.873e+05   2.9965      2.9631        
55     168.86       2784.9       6.8744       5.398e+05    8.6373           1.533e+07   245.29          7.939e+04   1.2702      1.858e+05   2.9728      2.9631        
56     168.86       2784.9       6.8575       6.208e+05    9.9323           1.595e+07   255.17          8.188e+04   1.3102      1.933e+05   3.0926      2.9631        
57     168.86       2784.9       7.3986       7.392e+05    11.828           1.526e+07   244.09          7.952e+04   1.2723      1.854e+05   2.9671      2.9631        
58     168.86       2784.9       6.5546       6.182e+05    9.8916           1.499e+07   239.91          7.856e+04   1.2569      1.827e+05   2.9236      2.9631        
59     168.86       2784.9       7.0735       7.057e+05    11.291           1.559e+07   249.48          8.143e+04   1.3029      1.925e+05   3.0793      2.9631        
60     168.86       2784.9       6.9893       5.713e+05    9.1407           1.571e+07   251.31          8.148e+04   1.3037      1.918e+05   3.0687      2.9631        
61     168.86       2784.8       6.5812       5.436e+05    8.697            1.514e+07   242.31          8.024e+04   1.2838      1.883e+05   3.0122      2.9631        
62     168.86       2784.9       7.2922       6.604e+05    10.566           1.522e+07   243.57          7.951e+04   1.2721      1.844e+05   2.9506      2.9631        
63     168.86       2784.9       7.3477       5.861e+05    9.3783           1.588e+07   254.08          8.189e+04   1.3102      1.927e+05   3.0839      2.9631        
