Performance Recorder: RTAR_1DOP_Detailed_NoPerm_64MPI16Threads.log
Rank | sendB(ms)  | sendC(ms)  | mergeC(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
49     7.7879       22.812       3.642         4.3219       9.393e+05    15.029           8.054e+04   1.2887      1.860e+05   2.9765      0.042281      
50     7.8209       23.13        4.1196        3.9326       8.241e+05    13.186           8.054e+04   1.2887      1.901e+05   3.0409      0.042281      
51     7.6752       24.579       4.488         3.3518       7.710e+05    12.337           8.054e+04   1.2887      1.870e+05   2.9916      0.042281      
52     7.6634       23.347       4.3667        4.3144       1.022e+06    16.357           8.054e+04   1.2887      1.895e+05   3.0323      0.042281      
53     7.6769       23.988       4.3951        3.906        8.124e+05    12.999           8.054e+04   1.2887      1.885e+05   3.0157      0.042281      
54     7.6466       24.523       4.8273        3.4159       8.201e+05    13.121           8.054e+04   1.2887      1.901e+05   3.0411      0.042281      
55     7.6976       23.262       3.7599        3.7225       8.248e+05    13.197           8.054e+04   1.2887      1.887e+05   3.0191      0.042281      
56     7.6733       23.799       4.169         3.5614       8.021e+05    12.834           8.054e+04   1.2887      1.902e+05   3.0434      0.042281      
57     7.6829       23.709       4.4408        4.1907       9.678e+05    15.486           8.054e+04   1.2887      1.870e+05   2.9926      0.042281      
58     7.6958       23.428       4.2561        4.2349       9.327e+05    14.924           8.054e+04   1.2887      1.836e+05   2.9377      0.042281      
59     7.6367       23.7         4.1876        3.707        8.865e+05    14.185           8.054e+04   1.2887      1.915e+05   3.0644      0.042281      
60     7.6274       23.031       4.3413        4.2509       1.072e+06    17.156           8.054e+04   1.2887      1.899e+05   3.0378      0.042281      
61     7.7204       22.946       3.9334        4.2897       9.876e+05    15.802           8.054e+04   1.2887      1.898e+05   3.0374      0.042281      
62     7.8729       22.639       4.1731        4.2855       8.721e+05    13.953           8.054e+04   1.2887      1.903e+05   3.0449      0.042281      
63     7.6774       23.018       4.5315        4.5471       1.027e+06    16.435           8.059e+04   1.2894      1.921e+05   3.074       0.042281      
