Performance Recorder: RTAR_1DOP_Detailed_NoPerm_16MPI16Threads.log
Rank | sendB(ms)  | sendC(ms)  | mergeC(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      9.184        37.388       17.474        7.5054       1.656e+06    26.496           3.222e+05   5.1548      7.562e+05   12.099      0.07873       
1      9.352        34.731       16.03         9.8976       2.307e+06    36.909           3.222e+05   5.1548      7.533e+05   12.053      0.07873       
2      9.0619       33.552       16.409        10.809       2.489e+06    39.829           3.222e+05   5.1548      7.500e+05   12          0.07873       
3      8.8525       35.018       17.323        10.292       2.408e+06    38.521           3.222e+05   5.1548      7.576e+05   12.122      0.07873       
4      9.1655       32.989       15.907        11.488       2.714e+06    43.425           3.222e+05   5.1548      7.513e+05   12.02       0.07873       
5      8.799        32.472       16.246        12.306       2.844e+06    45.503           3.222e+05   5.1548      7.587e+05   12.14       0.07873       
6      9.2559       32.096       16.674        12.899       3.050e+06    48.805           3.222e+05   5.1548      7.480e+05   11.968      0.07873       
7      8.7707       33.37        16.046        12.112       2.964e+06    47.423           3.222e+05   5.1548      7.478e+05   11.965      0.07873       
8      8.7496       32.613       19.474        11.297       2.801e+06    44.812           3.222e+05   5.1548      7.492e+05   11.988      0.07873       
9      9.5177       31.156       17.204        13.492       3.195e+06    51.114           3.222e+05   5.1548      7.586e+05   12.138      0.07873       
10     8.6539       33.049       15.8          12.12        3.183e+06    50.933           3.222e+05   5.1548      7.495e+05   11.991      0.07873       
11     9.1162       32.36        19.881        12.108       3.083e+06    49.321           3.222e+05   5.1548      7.516e+05   12.025      0.07873       
12     9.1877       34.311       16.185        13.45        3.277e+06    52.424           3.222e+05   5.1548      7.628e+05   12.205      0.07873       
13     8.6644       34.31        18.075        13.861       3.480e+06    55.681           3.222e+05   5.1548      7.559e+05   12.094      0.07873       
14     9.0417       31.497       16.344        14.392       3.590e+06    57.445           3.222e+05   5.1548      7.525e+05   12.04       0.07873       
15     9.0143       33.332       16.127        14.604       3.957e+06    63.304           3.222e+05   5.155       7.556e+05   12.09       0.07873       
