Performance Recorder: RTAR_1DOP_Detailed_RandPerm_64MPI16Threads.log
Rank | sendB(ms)  | sendC(ms)  | mergeC(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      0.76817      1.4868       0.090935      0.13891      2.351e+04    0.37614          7.040e+02   0.011264    1.873e+03   0.029968    0.0031797     
1      0.81255      1.4265       0.14251       0.15874      2.558e+04    0.40922          7.040e+02   0.011264    2.545e+03   0.04072     0.0031797     
2      0.78688      1.3436       0.10957       0.17614      2.613e+04    0.4181           7.040e+02   0.011264    2.792e+03   0.044672    0.0031797     
3      0.77212      1.495        0.11611       0.12991      2.379e+04    0.38066          7.040e+02   0.011264    3.382e+03   0.054112    0.0031797     
4      0.79129      1.4457       0.085114      0.15628      2.650e+04    0.42408          7.040e+02   0.011264    2.247e+03   0.035952    0.0031797     
5      0.79696      1.4481       0.10627       0.14266      2.589e+04    0.41429          7.040e+02   0.011264    2.000e+03   0.032       0.0031797     
6      0.79448      1.44         0.084252      0.13893      2.401e+04    0.38416          7.040e+02   0.011264    2.074e+03   0.033184    0.0031797     
7      0.76628      1.4792       0.1127        0.13927      2.603e+04    0.41653          7.040e+02   0.011264    2.603e+03   0.041648    0.0031797     
8      0.78777      1.5204       0.068752      0.18933      2.636e+04    0.4217           7.040e+02   0.011264    1.788e+03   0.028608    0.0031797     
9      0.79571      1.4236       0.07293       0.16658      2.437e+04    0.38995          7.040e+02   0.011264    2.431e+03   0.038896    0.0031797     
10     0.78225      1.4796       0.047471      0.15417      2.708e+04    0.43325          7.040e+02   0.011264    1.107e+03   0.017712    0.0031797     
11     0.7826       1.4728       0.08851       0.14858      2.461e+04    0.39373          7.040e+02   0.011264    2.118e+03   0.033888    0.0031797     
12     0.77054      1.4384       0.045517      0.17944      2.449e+04    0.39189          7.040e+02   0.011264    1.084e+03   0.017344    0.0031797     
13     0.78955      1.4159       0.20344       0.14252      2.537e+04    0.4059           7.040e+02   0.011264    4.041e+03   0.064656    0.0031797     
14     0.80992      1.4414       0.082639      0.14785      2.511e+04    0.40181          7.040e+02   0.011264    2.000e+03   0.032       0.0031797     
15     0.78529      1.3933       0.083221      0.14764      2.430e+04    0.38872          7.040e+02   0.011264    2.550e+03   0.0408      0.0031797     
16     0.81398      1.438        0.039526      0.14536      2.455e+04    0.39277          7.040e+02   0.011264    9.530e+02   0.015248    0.0031797     
17     0.80036      1.4472       0.087169      0.15743      2.434e+04    0.38941          7.040e+02   0.011264    1.983e+03   0.031728    0.0031797     
18     0.79125      1.369        0.088421      0.17427      2.460e+04    0.39354          7.040e+02   0.011264    2.031e+03   0.032496    0.0031797     
19     0.78774      1.4014       0.062912      0.13985      2.634e+04    0.42142          7.040e+02   0.011264    1.574e+03   0.025184    0.0031797     
20     0.80118      1.3043       0.057621      0.1663       2.732e+04    0.4372           7.040e+02   0.011264    1.695e+03   0.02712     0.0031797     
21     0.79577      1.4568       0.19676       0.13463      2.370e+04    0.3792           7.040e+02   0.011264    2.996e+03   0.047936    0.0031797     
22     0.77072      1.4972       0.074524      0.1497       2.622e+04    0.41944          7.040e+02   0.011264    2.000e+03   0.032       0.0031797     
