Performance Recorder: RTAR_1DOP_Detailed_NoPerm_64MPI16Threads.log
Rank | sendB(ms)  | sendC(ms)  | mergeC(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
47     0.95958      1.5717       0.093039      0.15901      2.327e+04    0.37235          7.040e+02   0.011264    2.623e+03   0.041968    0.0033313     
48     0.95714      1.443        0.052982      0.16796      2.478e+04    0.39643          7.040e+02   0.011264    1.541e+03   0.024656    0.0033313     
49     0.95694      1.4294       0.10511       0.18602      2.151e+04    0.34419          7.040e+02   0.011264    2.568e+03   0.041088    0.0033313     
50     0.95876      1.4626       0.094081      0.18341      2.418e+04    0.38696          7.040e+02   0.011264    2.698e+03   0.043168    0.0033313     
51     0.96812      1.4611       0.096797      0.16946      2.194e+04    0.35101          7.040e+02   0.011264    2.474e+03   0.039584    0.0033313     
52     0.96003      1.4297       0.09331       0.23875      2.616e+04    0.41848          7.040e+02   0.011264    2.722e+03   0.043552    0.0033313     
53     0.96811      1.5688       0.076116      0.20676      2.505e+04    0.40086          7.040e+02   0.011264    2.013e+03   0.032208    0.0033313     
54     0.95495      1.3993       0.061618      0.22787      2.662e+04    0.42584          7.040e+02   0.011264    1.661e+03   0.026576    0.0033313     
55     0.95657      1.5247       0.064634      0.15583      2.378e+04    0.38053          7.040e+02   0.011264    1.372e+03   0.021952    0.0033313     
56     0.97402      1.468        0.094593      0.20675      2.335e+04    0.3736           7.040e+02   0.011264    2.895e+03   0.04632     0.0033313     
57     0.94545      1.5686       0.080856      0.18157      2.981e+04    0.47696          7.040e+02   0.011264    1.947e+03   0.031152    0.0033313     
58     0.95841      1.4718       0.11164       0.15025      2.413e+04    0.38603          7.040e+02   0.011264    2.171e+03   0.034736    0.0033313     
59     0.95249      1.6502       0.10235       0.14132      2.318e+04    0.3709           7.040e+02   0.011264    2.657e+03   0.042512    0.0033313     
60     0.95536      1.4603       0.077279      0.15122      2.495e+04    0.39917          7.040e+02   0.011264    2.356e+03   0.037696    0.0033313     
61     0.95779      1.5045       0.089633      0.19759      2.334e+04    0.37338          7.040e+02   0.011264    2.136e+03   0.034176    0.0033313     
62     0.9423       1.5539       0.11116       0.19736      2.522e+04    0.40352          7.040e+02   0.011264    3.572e+03   0.057152    0.0033313     
63     0.9523       1.4442       0.10938       0.16802      2.404e+04    0.38466          7.490e+02   0.011984    3.582e+03   0.057312    0.0033313     
