Performance Recorder: 
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | 
0      530.76        26.169        3.0999       1.3295       
1      529.54        26.261        3.5931       1.2073       
2      529.6         26.652        2.694        1.1582       
3      528.17        26.437        4.7862       1.2641       
4      528.98        26.619        2.5304       1.0642       
5      529.6         26.26         3.4049       1.252        
6      529.85        26.354        2.196        1.1759       
7      530.13        26.019        3.804        1.086        
8      592.05        14.916        3.2477       1.1401       
9      591.78        14.762        3.0083       1.1081       
10     592.7         14.322        2.0871       1.14         
11     591.23        14.235        4.1356       1.1481       
12     592.26        15.028        1.9788       1.2613       
13     591.11        15.37         2.892        1.1691       
14     592.49        14.711        1.9652       1.3885       
15     591.94        15.042        3.1831       1.1189       
16     496.28        57.961        3.2539       1.299        
17     495.11        57.546        4.2582       1.0158       
18     495.01        58.85         2.2089       1.1079       
19     494.23        57.68         5.0271       1.1283       
20     494.05        60.091        2.2935       1.0211       
21     493.95        58.134        4.7943       1.1222       
22     494.87        59.049        2.3186       1.0969       
23     494.39        58.072        4.964        1.0527       
24     529.06        26.495        3.3495       1.2164       
25     527.74        26.982        3.1358       1.0133       
26     530.3         25.743        2.2478       1.0366       
27     527.62        26.783        3.6066       1.0766       
28     530.19        25.98         2.1657       1.1123       
29     528.28        26.279        3.7404       1.2729       
30     530.24        25.865        2.231        1.1919       
31     528.85        26.068        3.9558       1.0937       
32     411.75        142.63        3.0936       1.1631       
33     409.9         142.61        4.5636       1.3664       
34     411.94        141.37        3.0931       1.2745       
35     409.66        142.43        5.0071       1.2288       
36     409.44        144.52        2.4768       1.4914       
37     409.91        143.06        4.0793       1.1486       
38     408.93        144.1         3.4375       1.5771       
39     409.32        143.36        4.747        1.1623       
40     469.86        84.525        3.1018       1.4652       
41     468.23        84.932        3.9179       1.1855       
42     467.64        85.689        3.0668       1.3443       
43     468.46        84.619        4.0515       1.2307       
44     467.96        86.283        2.1706       1.4918       
45     468.26        84.914        3.8698       1.2229       
46     467.05        86.338        3.0525       1.3168       
47     469.61        83.95         3.8627       1.2309       
48     501.94        52.34         3.2348       1.1744       
49     500.6         52.4          4.0761       1.5416       
50     500.18        53.09         2.7963       1.1374       
51     499.55        52.725        4.8175       1.3778       
52     499.96        53.516        2.948        1.0337       
53     500.39        52.75         3.8937       1.2933       
54     499.98        53.192        3.0649       1.2441       
55     501.67        52.429        3.3043       1.5103       
56     460.98        93.223        3.2837       1.0904       
57     459.81        93.148        4.1155       1.2681       
58     460.43        93.083        2.5441       1.2576       
59     459.91        92.741        4.4634       1.4628       
60     458.4         94.763        3.233        1.0526       
61     460.05        93.239        3.7524       1.1005       
62     459.03        94.099        3.0943       1.3236       
63     460.4         93.66         3.357        1.2048       
