Performance Recorder: 
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | 
26     6.9057       3.8955       12.003       7.000e+01    0.00056          4.611e+03   0.036888        3.276e+06   26.209      1.418e+04   0.11341     
27     6.8822       3.9161       12.565       7.200e+01    0.000576         4.603e+03   0.036824        3.279e+06   26.23       1.452e+04   0.11614     
28     6.9102       3.9096       12.061       9.600e+01    0.000768         4.609e+03   0.036872        3.274e+06   26.196      1.421e+04   0.11369     
29     6.8948       3.9209       12.025       8.300e+01    0.000664         4.614e+03   0.036912        3.275e+06   26.197      1.430e+04   0.11438     
30     6.9027       3.914        11.917       8.600e+01    0.000688         4.611e+03   0.036888        3.278e+06   26.221      1.414e+04   0.11311     
31     6.8933       3.9271       12.109       8.300e+01    0.000664         4.611e+03   0.036888        3.276e+06   26.208      1.417e+04   0.11335     
32     6.9208       3.8988       11.406       5.500e+01    0.00044          4.606e+03   0.036848        3.276e+06   26.21       1.415e+04   0.11323     
33     6.8889       3.8887       11.972       6.400e+01    0.000512         4.612e+03   0.036896        3.279e+06   26.235      1.434e+04   0.11472     
34     6.8912       3.9011       12.101       5.800e+01    0.000464         4.619e+03   0.036952        3.277e+06   26.215      1.440e+04   0.11523     
35     6.8592       3.9222       12.287       7.200e+01    0.000576         4.618e+03   0.036944        3.278e+06   26.221      1.411e+04   0.1129      
36     6.8473       3.8973       11.9         8.200e+01    0.000656         4.605e+03   0.03684         3.277e+06   26.214      1.451e+04   0.11607     
37     6.8808       3.9521       12.17        7.600e+01    0.000608         4.612e+03   0.036896        3.274e+06   26.195      1.427e+04   0.11413     
38     6.9028       3.8988       11.914       8.400e+01    0.000672         4.608e+03   0.036864        3.278e+06   26.223      1.429e+04   0.11434     
39     6.9169       3.9095       12.265       6.600e+01    0.000528         4.611e+03   0.036888        3.277e+06   26.22       1.434e+04   0.1147      
40     6.8678       3.8895       11.91        7.200e+01    0.000576         4.616e+03   0.036928        3.274e+06   26.194      1.416e+04   0.11325     
41     6.8733       3.8865       12.182       7.400e+01    0.000592         4.614e+03   0.036912        3.272e+06   26.177      1.410e+04   0.11284     
42     6.858        3.9074       11.813       6.500e+01    0.00052          4.613e+03   0.036904        3.278e+06   26.226      1.422e+04   0.11378     
43     6.9138       3.9164       12.344       7.900e+01    0.000632         4.615e+03   0.03692         3.278e+06   26.226      1.428e+04   0.11422     
44     6.8455       3.877        11.988       8.000e+01    0.00064          4.610e+03   0.03688         3.274e+06   26.19       1.421e+04   0.11366     
45     6.8413       3.9117       12.142       6.800e+01    0.000544         4.612e+03   0.036896        3.277e+06   26.22       1.421e+04   0.1137      
46     7.0269       3.9012       11.88        7.600e+01    0.000608         4.614e+03   0.036912        3.275e+06   26.201      1.424e+04   0.11389     
47     6.8796       3.9191       11.906       7.100e+01    0.000568         4.606e+03   0.036848        3.277e+06   26.213      1.423e+04   0.11384     
48     6.877        3.8952       11.929       6.400e+01    0.000512         4.615e+03   0.03692         3.274e+06   26.189      1.453e+04   0.11625     
49     6.8571       3.8973       12.544       6.900e+01    0.000552         4.621e+03   0.036968        3.279e+06   26.231      1.426e+04   0.1141      
50     6.8668       3.9006       12.124       6.400e+01    0.000512         4.614e+03   0.036912        3.276e+06   26.207      1.419e+04   0.11355     
51     6.8485       3.9146       12.568       7.300e+01    0.000584         4.618e+03   0.036944        3.278e+06   26.226      1.421e+04   0.11367     
52     6.8503       3.9101       12.017       7.800e+01    0.000624         4.607e+03   0.036856        3.276e+06   26.21       1.408e+04   0.11266     
53     7.0141       3.8949       12.133       6.400e+01    0.000512         4.615e+03   0.03692         3.278e+06   26.222      1.442e+04   0.1154      
54     6.9026       3.9172       12.136       7.000e+01    0.00056          4.617e+03   0.036936        3.278e+06   26.227      1.442e+04   0.11537     
55     6.8293       3.9493       12.411       5.700e+01    0.000456         4.616e+03   0.036928        3.275e+06   26.2        1.432e+04   0.11456     
56     6.8786       3.8823       12.428       6.900e+01    0.000552         4.620e+03   0.03696         3.276e+06   26.204      1.419e+04   0.11354     
57     6.8724       3.889        12.158       6.300e+01    0.000504         4.609e+03   0.036872        3.278e+06   26.228      1.429e+04   0.11434     
58     6.909        3.91         12.459       8.500e+01    0.00068          4.607e+03   0.036856        3.276e+06   26.207      1.428e+04   0.11426     
59     6.9155       3.9033       12.579       8.000e+01    0.00064          4.605e+03   0.03684         3.274e+06   26.193      1.408e+04   0.11266     
60     6.8996       3.9278       12.011       8.200e+01    0.000656         4.605e+03   0.03684         3.276e+06   26.207      1.424e+04   0.1139      
61     6.87         3.9197       11.988       7.700e+01    0.000616         4.606e+03   0.036848        3.275e+06   26.202      1.410e+04   0.1128      
62     6.9212       3.8874       12.268       9.500e+01    0.00076          4.618e+03   0.036944        3.278e+06   26.227      1.423e+04   0.11383     
63     6.8455       3.9227       12.006       6.800e+01    0.000544         4.613e+03   0.036904        3.276e+06   26.212      1.425e+04   0.11398     
