Performance Recorder: 
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | 
0      322.59        90.553        126.1        99.474       
1      332.57        91.189        113.81       96.034       
2      335.88        92.707        107.45       95.521       
3      329.4         91.183        117.43       98.109       
4      331.75        91.913        112.88       97.45        
5      318.69        91.108        129.05       97.686       
6      329.95        91.583        115.57       99.057       
7      334.76        90.431        112.94       95.284       
8      195.3         218.39        125.35       105.37       
9      205.87        219.07        112.53       96.554       
10     188.01        219.02        132.44       95.002       
11     201.66        218.03        118.5        98.708       
12     202.09        222.15        112.47       96.231       
13     189.91        219.26        129.8        97.078       
14     200.17        221.65        115.35       98.973       
15     207.03        219.06        111.69       95.212       
16     177.9         233.77        128.16       99.5         
17     188.94        234.32        114.63       96.156       
18     192.31        236           108.98       95.16        
19     185.47        234.4         118.63       98.608       
20     187.8         237.62        112.4        96.431       
21     174.54        235.31        129.82       97.373       
22     186.01        236.71        115.58       100.04       
23     191.96        234.87        111.91       95.438       
24     288.73        123.45        128.61       99.136       
25     300.23        124.76        112.74       95.918       
26     306.13        123.52        107.52       95.276       
27     296.67        124.05        118.03       98.384       
28     299.92        125.09        112.48       99.587       
29     285.93        123.98        129.79       97.596       
30     298.84        123.75        115.54       99.289       
31     302.67        123.83        112.18       95.251       
32     270.69        140.18        129.05       100.66       
33     284.14        140.8         112.44       96.26        
34     288.78        140.59        106.77       95.393       
35     279.22        140.09        118.79       98.237       
36     279.38        144           113.44       96.394       
37     266.92        140.82        131.1        97.135       
38     277.89        144.1         114.93       99.22        
39     284.72        141.11        112.19       95.229       
40     126.03        289.08        123.95       99.442       
41     134.98        289.17        113.2        95.802       
42     140.5         289.34        106.04       95.405       
43     131.01        288.35        118.73       98.426       
44     126.89        297.07        112.74       96.37        
45     120.14        289.47        129.21       100.17       
46     124.83        296.62        115.54       99.26        
47     137.28        289.18        111.44       95.456       
48     130.85        277.63        131.4        99.798       
49     147.78        276.99        113.02       96.042       
50     150.04        279.68        107.46       95.393       
51     142.8         277.07        119.02       97.942       
52     139.51        282.75        115.36       96.306       
53     132.03        277.85        129.6        97.568       
54     139.38        282.52        116.43       98.787       
55     148.15        277.52        113.6        95.137       
56     141.77        265.17        132.55       99.591       
57     160.08        264.33        113.42       95.891       
58     162.46        267.17        107.28       95.458       
59     156.64        264.16        117.96       97.889       
60     154.54        270.99        111.79       96.79        
61     144.65        264.78        130.13       97.366       
62     151.74        270.5         116.09       99.261       
63     161.7         265.26        111.47       95.478       
