Performance Recorder: 
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | 
0      292.21        0.7486        3.7412       3.1979       
1      290.07        0.42465       5.6347       4.8578       
2      290.19        0.25817       4.7133       5.0319       
3      291.49        0.35996       4.3806       3.2328       
4      289.39        0.24827       5.4465       4.9934       
5      288.59        0.74058       6.9783       4.9017       
6      292.04        0.29751       2.5265       2.743        
7      290.66        0.38201       5.6213       5.2391       
8      140.69        154.71        3.7796       3.0873       
9      138.97        154.29        5.4933       4.9827       
10     140.29        153.56        4.7217       5.0728       
11     140.63        153.74        4.309        3.3566       
12     133.09        158.77        5.2937       4.9194       
13     138.26        153.98        6.8118       4.9422       
14     135.68        159.11        2.5399       2.6829       
15     139.49        154.34        5.4646       5.2427       
16     155.63        76.133        3.6096       3.0031       
17     154.15        75.684        5.1089       4.8825       
18     153.35        75.013        5.1726       5.0082       
19     155.17        75.838        3.7197       3.2077       
20     151.75        76.022        5.7752       4.8139       
21     152.8         75.908        6.235        4.9132       
22     153.92        76.658        3.1228       2.7096       
23     154.42        75.915        5.1486       5.3782       
24     123.85        107.73        3.813        3.0546       
25     120.57        109.11        5.2589       4.8416       
26     121.9         106.53        5.1394       5.006        
27     122.76        108.29        3.6653       3.3006       
28     119.68        107.93        5.9444       4.8856       
29     121.08        107.65        6.2169       4.8877       
30     122.55        108           3.1614       2.534        
31     121.54        108.95        4.9648       5.3773       
32     128.54        103.16        3.6891       3.1195       
33     126.34        103.54        5.0763       4.9532       
34     125.83        102.97        4.7297       5.1867       
35     127.49        103.6         3.6515       3.3212       
36     122.17        105.54        5.8104       4.9114       
37     125.25        103.37        6.349        4.9869       
38     125.12        105.58        2.9402       2.6856       
39     127.45        102.93        5.0814       5.2682       
40     102.57        129.12        3.7121       3.1357       
41     100.07        129.86        5.0518       4.9003       
42     96.691        132.1         4.7349       5.0075       
43     101.86        129.21        3.6704       3.3198       
44     95.841        131.82        5.8785       4.7994       
45     99.305        129.36        6.3078       5.0247       
46     98.5          132.23        2.9259       2.6903       
47     100.59        129.63        5.2121       5.2382       
48     128.38        103.35        3.6266       3.1852       
49     126.29        103.62        5.0161       4.8059       
50     124.44        104.25        4.8583       5.0408       
51     127.3         103.72        3.7053       3.3856       
52     123.18        105.12        5.2568       4.9196       
53     124.88        103.79        6.2776       4.9883       
54     126.05        105.07        2.5373       2.5319       
55     127.07        103.34        5.0349       5.2271       
56     176.81        54.89         3.7077       3.0967       
57     175.68        54.241        5.0098       4.9644       
58     174.17        54.658        4.7676       5.0815       
59     177.25        53.768        3.6962       3.3913       
60     172.5         55.727        5.3043       4.8638       
61     174.18        54.505        6.2874       4.9784       
62     175.35        55.751        2.5505       2.6126       
63     175.96        54.427        5.0655       5.2179       
