Performance Recorder: 
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | 
0      28.302       12.923       38.936       1.416e+04    0.11325          9.129e+05   7.3028          3.274e+06   26.192      3.926e+05   3.1405      
1      28.302       12.914       40.604       1.439e+04    0.1151           9.129e+05   7.3029          3.274e+06   26.189      3.926e+05   3.1406      
2      28.301       12.906       41.992       1.404e+04    0.11229          9.129e+05   7.3029          3.276e+06   26.211      3.926e+05   3.1409      
3      28.301       12.918       39.755       1.428e+04    0.11426          9.129e+05   7.3029          3.277e+06   26.215      3.926e+05   3.1404      
4      28.301       12.927       39.679       1.426e+04    0.11409          9.129e+05   7.3029          3.277e+06   26.217      3.926e+05   3.1406      
5      28.301       12.924       40.563       1.418e+04    0.11341          9.129e+05   7.3028          3.278e+06   26.227      3.926e+05   3.1406      
6      28.3         12.934       40.203       1.420e+04    0.11362          9.129e+05   7.3029          3.278e+06   26.221      3.926e+05   3.1405      
7      28.3         12.951       39.5         1.429e+04    0.11435          9.129e+05   7.3029          3.276e+06   26.206      3.926e+05   3.1407      
8      28.302       12.958       42.656       1.411e+04    0.1129           9.129e+05   7.3029          3.279e+06   26.232      3.926e+05   3.1406      
9      28.301       12.929       39.045       1.436e+04    0.1149           9.129e+05   7.3029          3.275e+06   26.196      3.926e+05   3.1406      
10     28.302       12.934       39.656       1.430e+04    0.11438          9.129e+05   7.3029          3.278e+06   26.22       3.925e+05   3.1403      
11     28.302       12.944       43.324       1.427e+04    0.11415          9.129e+05   7.3028          3.276e+06   26.205      3.926e+05   3.1405      
12     28.301       12.932       39.424       1.433e+04    0.11467          9.129e+05   7.3029          3.275e+06   26.201      3.926e+05   3.1405      
13     28.3         12.943       42.529       1.430e+04    0.11436          9.129e+05   7.3029          3.277e+06   26.215      3.926e+05   3.1408      
14     28.301       12.944       40.571       1.433e+04    0.11462          9.129e+05   7.3029          3.278e+06   26.228      3.926e+05   3.1404      
15     28.301       12.975       39.431       1.428e+04    0.11424          9.129e+05   7.3028          3.278e+06   26.222      3.926e+05   3.1408      
16     28.3         12.922       39.79        1.440e+04    0.11522          9.129e+05   7.3029          3.275e+06   26.198      3.926e+05   3.1406      
17     28.301       12.908       40.684       1.426e+04    0.1141           9.129e+05   7.3029          3.275e+06   26.201      3.926e+05   3.1405      
18     28.3         12.906       39.894       1.443e+04    0.11542          9.129e+05   7.3029          3.277e+06   26.218      3.925e+05   3.1403      
19     28.3         12.924       40.028       1.428e+04    0.11426          9.129e+05   7.3029          3.276e+06   26.21       3.926e+05   3.1408      
20     28.3         12.935       40.324       1.424e+04    0.11389          9.129e+05   7.3029          3.281e+06   26.245      3.926e+05   3.1406      
21     28.3         12.914       39.607       1.426e+04    0.11409          9.129e+05   7.3029          3.276e+06   26.207      3.925e+05   3.1403      
22     28.3         12.917       37.99        1.422e+04    0.11374          9.129e+05   7.3029          3.278e+06   26.22       3.925e+05   3.1402      
23     28.3         12.98        43.46        1.442e+04    0.11536          9.129e+05   7.3029          3.277e+06   26.212      3.925e+05   3.1401      
24     28.3         12.931       41.185       1.440e+04    0.11522          9.129e+05   7.3029          3.275e+06   26.202      3.926e+05   3.1406      
25     28.3         12.944       40.264       1.430e+04    0.11441          9.129e+05   7.3029          3.277e+06   26.213      3.925e+05   3.1402      
26     28.3         12.934       38.745       1.417e+04    0.11338          9.129e+05   7.3029          3.276e+06   26.209      3.926e+05   3.1404      
27     28.3         12.951       43.128       1.452e+04    0.11612          9.129e+05   7.3029          3.279e+06   26.23       3.925e+05   3.1401      
28     28.3         12.927       40.478       1.420e+04    0.11364          9.129e+05   7.3029          3.274e+06   26.196      3.925e+05   3.1403      
29     28.299       12.948       41.3         1.430e+04    0.11438          9.129e+05   7.3029          3.275e+06   26.197      3.926e+05   3.1404      
30     28.3         12.936       39.13        1.414e+04    0.11311          9.129e+05   7.3029          3.278e+06   26.221      3.926e+05   3.1407      
31     28.294       12.935       40.236       1.417e+04    0.11334          9.129e+05   7.3029          3.276e+06   26.208      3.926e+05   3.1405      
32     28.301       12.917       38.876       1.414e+04    0.11316          9.129e+05   7.3029          3.276e+06   26.21       3.926e+05   3.1405      
33     28.3         12.945       39.89        1.434e+04    0.1147           9.129e+05   7.3029          3.279e+06   26.235      3.925e+05   3.1403      
34     28.3         12.971       41.402       1.440e+04    0.11522          9.129e+05   7.3029          3.277e+06   26.215      3.926e+05   3.1404      
35     28.3         12.931       41.569       1.411e+04    0.11286          9.129e+05   7.3029          3.278e+06   26.221      3.926e+05   3.1405      
36     28.3         12.906       39.83        1.451e+04    0.11606          9.129e+05   7.3028          3.277e+06   26.214      3.926e+05   3.1407      
37     28.299       12.919       39.355       1.426e+04    0.11411          9.129e+05   7.3029          3.274e+06   26.195      3.926e+05   3.1407      
38     28.299       12.91        43.129       1.429e+04    0.1143           9.129e+05   7.3029          3.278e+06   26.223      3.926e+05   3.1405      
39     28.299       12.927       41.239       1.434e+04    0.11468          9.129e+05   7.3028          3.277e+06   26.22       3.926e+05   3.1407      
40     28.299       12.919       40.409       1.415e+04    0.11322          9.129e+05   7.3029          3.274e+06   26.194      3.926e+05   3.1406      
41     28.3         12.943       40.106       1.410e+04    0.11282          9.129e+05   7.3029          3.272e+06   26.177      3.926e+05   3.1406      
42     28.3         12.929       40.406       1.422e+04    0.11378          9.129e+05   7.3029          3.278e+06   26.226      3.926e+05   3.1406      
43     28.3         12.935       42.05        1.427e+04    0.11418          9.129e+05   7.3028          3.278e+06   26.226      3.926e+05   3.1408      
44     28.3         12.922       39.796       1.420e+04    0.11362          9.129e+05   7.3029          3.274e+06   26.19       3.925e+05   3.1403      
45     28.3         12.939       40.924       1.421e+04    0.11368          9.129e+05   7.3029          3.277e+06   26.22       3.926e+05   3.1405      
46     28.3         12.92        39.927       1.423e+04    0.11386          9.129e+05   7.3029          3.275e+06   26.201      3.926e+05   3.1404      
47     28.296       12.947       39.584       1.422e+04    0.1138           9.129e+05   7.3029          3.277e+06   26.213      3.926e+05   3.1406      
48     28.301       12.911       39.636       1.452e+04    0.1162           9.129e+05   7.3029          3.274e+06   26.189      3.926e+05   3.1404      
49     28.3         12.928       42.011       1.426e+04    0.11408          9.129e+05   7.3029          3.279e+06   26.231      3.926e+05   3.1409      
50     28.301       12.918       40.155       1.419e+04    0.11354          9.129e+05   7.3028          3.276e+06   26.207      3.925e+05   3.1404      
51     28.301       12.942       40.838       1.421e+04    0.11366          9.129e+05   7.3029          3.278e+06   26.226      3.925e+05   3.1402      
52     28.3         12.914       40.017       1.408e+04    0.11263          9.129e+05   7.3029          3.276e+06   26.21       3.926e+05   3.1404      
53     28.301       12.915       40.33        1.442e+04    0.11539          9.129e+05   7.3029          3.278e+06   26.222      3.925e+05   3.1403      
54     28.3         12.907       40.322       1.442e+04    0.11535          9.129e+05   7.3028          3.278e+06   26.227      3.926e+05   3.1404      
55     28.301       12.934       43.051       1.432e+04    0.11455          9.129e+05   7.3028          3.275e+06   26.2        3.926e+05   3.1405      
56     28.3         12.951       41.328       1.419e+04    0.1135           9.129e+05   7.3029          3.276e+06   26.204      3.926e+05   3.1405      
57     28.301       12.938       41.084       1.429e+04    0.11432          9.129e+05   7.3029          3.278e+06   26.228      3.925e+05   3.1403      
58     28.301       12.924       39.539       1.428e+04    0.11424          9.129e+05   7.3029          3.276e+06   26.207      3.926e+05   3.1409      
59     28.3         12.976       41.586       1.408e+04    0.11263          9.129e+05   7.3029          3.274e+06   26.193      3.925e+05   3.1403      
60     28.3         12.922       41.848       1.424e+04    0.11388          9.129e+05   7.3028          3.276e+06   26.207      3.925e+05   3.1402      
61     28.301       12.929       43.264       1.410e+04    0.11278          9.129e+05   7.3029          3.275e+06   26.202      3.926e+05   3.1405      
62     28.3         12.952       40.266       1.423e+04    0.11382          9.128e+05   7.3028          3.278e+06   26.227      3.925e+05   3.1402      
63     28.303       12.948       41.521       1.424e+04    0.11396          9.128e+05   7.3028          3.276e+06   26.212      3.925e+05   3.1402      
