Performance Recorder: AA_1D_Detailed_GPPerm_64MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
47     33.369       19.605       29.53        7.090e+05    11.344           8.044e+05   12.87           7.090e+05   11.344      2.225e+06   35.601      0.11076       
48     33.376       19.601       32.042       7.538e+05    12.06            8.520e+05   13.632          7.538e+05   12.06       2.368e+06   37.895      0.11076       
49     33.379       19.568       33.179       6.932e+05    11.091           7.882e+05   12.612          6.932e+05   11.091      2.167e+06   34.672      0.11076       
50     33.377       19.606       27.103       6.751e+05    10.801           7.506e+05   12.009          6.751e+05   10.801      2.096e+06   33.533      0.11076       
51     33.378       19.589       31.018       6.940e+05    11.104           7.815e+05   12.504          6.940e+05   11.104      2.161e+06   34.574      0.11076       
52     33.378       19.568       30.275       7.364e+05    11.782           8.120e+05   12.992          7.364e+05   11.782      2.292e+06   36.668      0.11076       
53     33.378       19.562       30.802       7.114e+05    11.383           7.922e+05   12.675          7.114e+05   11.383      2.225e+06   35.597      0.11076       
54     33.376       19.585       32.215       7.617e+05    12.186           8.337e+05   13.338          7.617e+05   12.186      2.370e+06   37.923      0.11076       
55     33.379       19.575       32.724       7.528e+05    12.044           8.446e+05   13.513          7.528e+05   12.044      2.364e+06   37.826      0.11076       
56     33.378       19.595       35.028       7.613e+05    12.18            8.427e+05   13.484          7.613e+05   12.18       2.368e+06   37.884      0.11076       
57     33.379       19.581       35.263       7.434e+05    11.894           8.417e+05   13.467          7.434e+05   11.894      2.329e+06   37.263      0.11076       
58     33.377       19.573       31.891       7.177e+05    11.483           8.048e+05   12.877          7.177e+05   11.483      2.244e+06   35.901      0.11076       
59     33.377       19.598       30.43        7.074e+05    11.319           7.780e+05   12.448          7.074e+05   11.319      2.211e+06   35.376      0.11076       
60     33.37        19.584       31.445       7.544e+05    12.07            8.284e+05   13.254          7.544e+05   12.07       2.351e+06   37.616      0.11076       
61     33.369       19.605       33.456       7.474e+05    11.959           8.359e+05   13.375          7.474e+05   11.959      2.337e+06   37.392      0.11076       
62     33.371       19.601       28.212       6.711e+05    10.738           7.581e+05   12.13           6.711e+05   10.738      2.086e+06   33.373      0.11076       
63     33.371       19.624       29.565       7.187e+05    11.499           8.000e+05   12.799          7.187e+05   11.499      2.239e+06   35.829      0.11076       
