Performance Recorder: RTAR_1DOP_Detailed_NoPerm_16MPI16Threads.log
Rank | sendB(ms)  | sendC(ms)  | mergeC(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      12.399       8.9254       5.2875        8.799        2.738e+06    43.807           5.216e+05   8.3456      2.277e+05   3.6434      0.037512      
1      12.064       9.0127       5.3379        8.9898       2.823e+06    45.174           5.216e+05   8.3456      2.276e+05   3.6424      0.037512      
2      12.085       8.7828       5.5862        8.9421       2.824e+06    45.178           5.216e+05   8.3456      2.282e+05   3.6512      0.037512      
3      12.636       8.4854       5.261         9.0352       2.828e+06    45.253           5.216e+05   8.3456      2.280e+05   3.6483      0.037512      
4      12.146       8.8838       5.3602        9.028        2.817e+06    45.071           5.216e+05   8.3456      2.278e+05   3.6452      0.037512      
5      12.577       8.628        5.2879        8.9316       2.822e+06    45.159           5.216e+05   8.3456      2.278e+05   3.6444      0.037512      
6      12.809       8.25         5.6946        8.9432       2.820e+06    45.115           5.216e+05   8.3456      2.288e+05   3.6603      0.037512      
7      12.756       8.5193       5.4281        8.7548       2.819e+06    45.102           5.216e+05   8.3456      2.273e+05   3.6375      0.037512      
8      11.814       9.5637       5.4446        8.8875       2.738e+06    43.812           5.216e+05   8.3456      2.278e+05   3.6444      0.037512      
9      11.914       8.9324       5.3432        9.3119       2.852e+06    45.634           5.216e+05   8.3456      2.281e+05   3.65        0.037512      
10     11.861       9.2994       5.4774        9.1011       2.852e+06    45.634           5.216e+05   8.3456      2.279e+05   3.646       0.037512      
11     11.78        9.0345       5.2161        9.3219       2.854e+06    45.669           5.216e+05   8.3456      2.277e+05   3.6429      0.037512      
12     11.8         9.081        5.1065        9.0522       2.848e+06    45.571           5.216e+05   8.3456      2.275e+05   3.64        0.037512      
13     11.854       9.2139       5.3044        9.0168       2.856e+06    45.704           5.216e+05   8.3456      2.283e+05   3.6533      0.037512      
14     11.815       8.9942       5.5325        9.0791       2.852e+06    45.633           5.216e+05   8.3456      2.278e+05   3.645       0.037512      
15     12.04        9.1096       5.4557        8.9851       2.820e+06    45.114           5.216e+05   8.3456      2.279e+05   3.6471      0.037512      
