Performance Recorder: RTAR_1DOP_Detailed_NoPerm_64MPI16Threads.log
Rank | sendB(ms)  | sendC(ms)  | mergeC(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
49     10.603       7.7367       1.1078        2.6267       7.102e+05    11.364           1.304e+05   2.0864      5.695e+04   0.91126     0.023385      
50     10.607       7.7271       1.1538        2.6474       7.161e+05    11.458           1.304e+05   2.0864      5.716e+04   0.91448     0.023385      
51     10.66        7.1079       1.0485        2.6603       7.115e+05    11.384           1.304e+05   2.0864      5.731e+04   0.91693     0.023385      
52     10.56        7.1152       1.0947        2.6046       7.116e+05    11.385           1.304e+05   2.0864      5.701e+04   0.9121      0.023385      
53     10.676       6.9808       1.0111        2.7667       7.128e+05    11.406           1.304e+05   2.0864      5.720e+04   0.91515     0.023385      
54     8.919        8.935        1.1375        2.4486       7.153e+05    11.445           1.304e+05   2.0864      5.730e+04   0.91685     0.023385      
55     10.606       7.6896       1.1434        2.6158       7.130e+05    11.408           1.304e+05   2.0864      5.704e+04   0.91266     0.023385      
56     10.608       7.1388       1.0439        2.6365       7.149e+05    11.438           1.304e+05   2.0864      5.718e+04   0.91485     0.023385      
57     10.533       7.0731       1.075         2.6155       7.127e+05    11.403           1.304e+05   2.0864      5.714e+04   0.91419     0.023385      
58     10.458       7.5139       0.94235       2.3322       7.132e+05    11.411           1.304e+05   2.0864      5.718e+04   0.91496     0.023385      
59     10.617       7.5705       1.1194        2.7057       7.134e+05    11.414           1.304e+05   2.0864      5.678e+04   0.90854     0.023385      
60     10.603       7.1289       1.1029        2.5876       7.125e+05    11.4             1.304e+05   2.0864      5.696e+04   0.91134     0.023385      
61     10.693       7.5217       1.0468        2.6936       7.139e+05    11.423           1.304e+05   2.0864      5.696e+04   0.91144     0.023385      
62     10.818       6.8387       1.1575        2.6822       7.161e+05    11.458           1.304e+05   2.0864      5.738e+04   0.91814     0.023385      
63     10.706       7.0523       1.0659        2.6588       6.853e+05    10.964           1.304e+05   2.0864      5.805e+04   0.92886     0.023385      
