Performance Recorder: 
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | 
49     199.09       3.9177       21.973       1.304e+05    2.0864           3.169e+05   5.0703          3.651e+06   58.418      7.110e+05   11.376      
50     199.09       3.9351       22.245       1.304e+05    2.0864           3.169e+05   5.0703          3.651e+06   58.418      7.119e+05   11.39       
51     199.09       3.9309       22.171       1.304e+05    2.0864           3.169e+05   5.0703          3.651e+06   58.418      7.121e+05   11.394      
52     199.09       3.9164       22.067       1.304e+05    2.0864           3.169e+05   5.0703          3.651e+06   58.418      7.134e+05   11.414      
53     199.09       3.9053       22.166       1.304e+05    2.0864           3.172e+05   5.0755          3.651e+06   58.418      7.132e+05   11.411      
54     199.09       3.9131       21.926       1.304e+05    2.0864           3.169e+05   5.0703          3.651e+06   58.418      7.132e+05   11.412      
55     199.09       3.9421       21.993       1.304e+05    2.0864           3.169e+05   5.0703          3.651e+06   58.418      7.092e+05   11.347      
56     199.09       3.947        22.289       1.304e+05    2.0864           3.169e+05   5.0703          3.651e+06   58.418      7.131e+05   11.409      
57     199.09       3.924        22.786       1.304e+05    2.0864           3.169e+05   5.0708          3.651e+06   58.418      7.141e+05   11.425      
58     199.09       3.9251       22.876       1.304e+05    2.0864           3.169e+05   5.0698          3.651e+06   58.418      7.120e+05   11.392      
59     199.09       3.9534       22.133       1.304e+05    2.0864           3.169e+05   5.0708          3.651e+06   58.418      7.118e+05   11.389      
60     199.09       3.9523       22.057       1.304e+05    2.0864           3.169e+05   5.0698          3.651e+06   58.418      7.115e+05   11.384      
61     199.09       3.9322       21.906       1.304e+05    2.0864           3.169e+05   5.0708          3.651e+06   58.418      7.111e+05   11.378      
62     199.09       3.9495       22.509       1.304e+05    2.0864           3.169e+05   5.0698          3.651e+06   58.418      7.164e+05   11.462      
63     199.09       3.9842       22.766       1.304e+05    2.0864           3.162e+05   5.0596          3.649e+06   58.388      6.846e+05   10.953      
