Performance Recorder: 
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | 
49     244.95       2650.7       7.3742       7.110e+05    11.376           1.539e+07   246.21          1.299e+05   2.0789      5.671e+04   0.90738     
50     244.95       2650.7       8.5067       7.119e+05    11.39            1.564e+07   250.19          1.295e+05   2.0726      5.659e+04   0.90542     
51     244.95       2650.7       7.4299       7.121e+05    11.394           1.565e+07   250.35          1.308e+05   2.0934      5.701e+04   0.91221     
52     244.95       2650.6       7.5757       7.134e+05    11.414           1.538e+07   246.13          1.299e+05   2.0783      5.684e+04   0.90942     
53     244.95       2650.7       7.4086       7.132e+05    11.411           1.531e+07   244.92          1.298e+05   2.0765      5.685e+04   0.90963     
54     244.95       2650.7       7.5256       7.132e+05    11.412           1.541e+07   246.55          1.299e+05   2.0781      5.674e+04   0.90787     
55     244.95       2650.7       7.3385       7.092e+05    11.347           1.553e+07   248.43          1.303e+05   2.0847      5.679e+04   0.90867     
56     244.95       2650.7       7.622        7.131e+05    11.409           1.528e+07   244.47          1.290e+05   2.0642      5.659e+04   0.90544     
57     244.95       2650.7       7.2773       7.141e+05    11.425           1.533e+07   245.3           1.312e+05   2.0986      5.707e+04   0.9131      
58     244.95       2650.7       7.6565       7.120e+05    11.392           1.540e+07   246.39          1.300e+05   2.0805      5.653e+04   0.9045      
59     244.95       2650.7       7.2624       7.118e+05    11.389           1.541e+07   246.61          1.299e+05   2.0789      5.687e+04   0.90987     
60     244.95       2650.7       7.5883       7.115e+05    11.384           1.559e+07   249.48          1.305e+05   2.0888      5.696e+04   0.91139     
61     244.95       2650.7       7.6001       7.111e+05    11.378           1.575e+07   252.04          1.305e+05   2.0874      5.699e+04   0.91178     
62     244.95       2650.7       7.5568       7.164e+05    11.462           1.520e+07   243.25          1.302e+05   2.0825      5.684e+04   0.90936     
63     244.95       2650.7       7.5651       6.846e+05    10.953           1.551e+07   248.2           1.334e+05   2.1338      5.828e+04   0.93242     
