Performance Recorder: RTAR_1DOP_Detailed_GPPerm_64MPI16Threads.log
Rank | sendB(ms)  | sendC(ms)  | mergeC(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
47     2.3178       1.1353       0.048694      0.24295      6.682e+04    1.0691           1.762e+04   0.28186     1.566e+03   0.025056    0.0041016     
48     2.3101       1.0883       0.052571      0.24003      6.435e+04    1.0296           1.656e+04   0.26491     1.643e+03   0.026288    0.0041016     
49     2.3345       1.0393       0.052632      0.26549      7.127e+04    1.1403           1.820e+04   0.2912      1.663e+03   0.026608    0.0041016     
50     2.3308       1.083        0.050297      0.24324      6.926e+04    1.1082           1.653e+04   0.26443     1.641e+03   0.026256    0.0041016     
51     2.264        1.2039       0.049084      0.21258      6.190e+04    0.99034          1.533e+04   0.24533     1.712e+03   0.027392    0.0041016     
52     2.3067       1.1139       0.05172       0.23749      6.452e+04    1.0323           1.643e+04   0.26285     1.640e+03   0.02624     0.0041016     
53     2.2659       1.1817       0.048103      0.25107      7.182e+04    1.1491           1.837e+04   0.29398     1.523e+03   0.024368    0.0041016     
54     2.317        1.1105       0.052411      0.26293      7.014e+04    1.1223           1.797e+04   0.28758     1.605e+03   0.02568     0.0041016     
55     2.313        1.0448       0.049686      0.28667      7.138e+04    1.1421           1.777e+04   0.28429     1.576e+03   0.025216    0.0041016     
56     2.3305       1.0907       0.051119      0.25905      7.094e+04    1.135            1.758e+04   0.28125     1.606e+03   0.025696    0.0041016     
57     2.2741       1.1814       0.04674       0.24612      7.003e+04    1.1204           1.708e+04   0.27333     1.516e+03   0.024256    0.0041016     
58     2.334        1.0827       0.049485      0.27139      7.163e+04    1.1461           1.814e+04   0.29027     1.474e+03   0.023584    0.0041016     
59     2.2806       1.1449       0.049496      0.2707       7.059e+04    1.1295           1.810e+04   0.28965     1.529e+03   0.024464    0.0041016     
60     2.3522       1.0728       0.051289      0.27658      7.090e+04    1.1345           1.790e+04   0.28643     1.652e+03   0.026432    0.0041016     
61     2.2316       1.1816       0.052892      0.26157      6.839e+04    1.0943           1.780e+04   0.28472     1.742e+03   0.027872    0.0041016     
62     2.2997       1.1574       0.052531      0.24092      6.597e+04    1.0555           1.684e+04   0.26938     1.665e+03   0.02664     0.0041016     
63     2.3004       1.1607       0.059274      0.22556      6.507e+04    1.0411           1.683e+04   0.26923     2.260e+03   0.03616     0.0041016     
